network,autonomous_system_number,autonomous_system_organization
2001:250:3c12::/48,23910,"China Next Generation Internet CERNET2"
2001:250:3c13::/48,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c14::/46,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c18::/46,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c1c::/47,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c1e::/48,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c1f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:3c20::/48,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c21::/48,23910,"China Next Generation Internet CERNET2"
2001:250:3c22::/47,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c24::/48,23910,"China Next Generation Internet CERNET2"
2001:250:3c25::/48,138369,"CERNET2 regional IX at Shenzhen University"
2001:250:3c26::/47,23910,"China Next Generation Internet CERNET2"
2001:250:3c28::/45,23910,"China Next Generation Internet CERNET2"
2001:250:3c30::/44,23910,"China Next Generation Internet CERNET2"
2001:250:3c40::/42,23910,"China Next Generation Internet CERNET2"
2001:250:3c80::/41,23910,"China Next Generation Internet CERNET2"
2001:250:3d00::/40,23910,"China Next Generation Internet CERNET2"
2001:250:3e00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:4000::/46,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4004::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4006::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4007::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4008::/45,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4010::/46,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4014::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4015::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4016::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4018::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:401a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:401b::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:401c::/46,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4020::/47,23910,"China Next Generation Internet CERNET2"
2001:250:4022::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4023::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4024::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4025::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4026::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4028::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:402a::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:402b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:402c::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:402d::/48,23910,"China Next Generation Internet CERNET2"
2001:250:402e::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4030::/46,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4034::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4035::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4036::/47,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4038::/45,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4040::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4041::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4042::/47,23910,"China Next Generation Internet CERNET2"
2001:250:4044::/46,23910,"China Next Generation Internet CERNET2"
2001:250:4048::/45,23910,"China Next Generation Internet CERNET2"
2001:250:4050::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4051::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4052::/48,24358,"CERNET2 IX at Huazhong University of Science and Technology"
2001:250:4053::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4054::/46,23910,"China Next Generation Internet CERNET2"
2001:250:4058::/45,23910,"China Next Generation Internet CERNET2"
2001:250:4060::/43,23910,"China Next Generation Internet CERNET2"
2001:250:4080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:4100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:4200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:4400::/44,24359,"CERNET2 IX at Central South University"
2001:250:4410::/45,24359,"CERNET2 IX at Central South University"
2001:250:4418::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4419::/48,24359,"CERNET2 IX at Central South University"
2001:250:441a::/47,24359,"CERNET2 IX at Central South University"
2001:250:441c::/46,24359,"CERNET2 IX at Central South University"
2001:250:4420::/45,24359,"CERNET2 IX at Central South University"
2001:250:4428::/48,24359,"CERNET2 IX at Central South University"
2001:250:4429::/48,23910,"China Next Generation Internet CERNET2"
2001:250:442a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:442c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:4430::/44,23910,"China Next Generation Internet CERNET2"
2001:250:4440::/42,23910,"China Next Generation Internet CERNET2"
2001:250:4480::/41,23910,"China Next Generation Internet CERNET2"
2001:250:4500::/40,23910,"China Next Generation Internet CERNET2"
2001:250:4600::/39,23910,"China Next Generation Internet CERNET2"
2001:250:4800::/45,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4808::/46,24360,"CERNET2 IX at Zhengzhou University"
2001:250:480c::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:480e::/48,24360,"CERNET2 IX at Zhengzhou University"
2001:250:480f::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4810::/44,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4820::/46,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4824::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4825::/48,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4826::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4828::/45,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4830::/46,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4834::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4836::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4837::/48,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4838::/45,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4840::/46,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4844::/48,23910,"China Next Generation Internet CERNET2"
2001:250:4845::/48,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4846::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4848::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:484a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:484c::/46,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4850::/47,24360,"CERNET2 IX at Zhengzhou University"
2001:250:4852::/47,23910,"China Next Generation Internet CERNET2"
2001:250:4854::/46,23910,"China Next Generation Internet CERNET2"
2001:250:4858::/45,23910,"China Next Generation Internet CERNET2"
2001:250:4860::/43,23910,"China Next Generation Internet CERNET2"
2001:250:4880::/41,23910,"China Next Generation Internet CERNET2"
2001:250:4900::/40,23910,"China Next Generation Internet CERNET2"
2001:250:4a00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:4c00::/38,23910,"China Next Generation Internet CERNET2"
2001:250:5000::/47,23910,"China Next Generation Internet CERNET2"
2001:250:5002::/47,4538,"China Education and Research Network Center"
2001:250:5004::/46,4538,"China Education and Research Network Center"
2001:250:5008::/45,4538,"China Education and Research Network Center"
2001:250:5010::/48,4538,"China Education and Research Network Center"
2001:250:5011::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5012::/47,4538,"China Education and Research Network Center"
2001:250:5014::/46,4538,"China Education and Research Network Center"
2001:250:5018::/45,4538,"China Education and Research Network Center"
2001:250:5020::/43,4538,"China Education and Research Network Center"
2001:250:5040::/46,4538,"China Education and Research Network Center"
2001:250:5044::/47,4538,"China Education and Research Network Center"
2001:250:5046::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5047::/48,4538,"China Education and Research Network Center"
2001:250:5048::/45,4538,"China Education and Research Network Center"
2001:250:5050::/46,4538,"China Education and Research Network Center"
2001:250:5054::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5055::/48,4538,"China Education and Research Network Center"
2001:250:5056::/47,4538,"China Education and Research Network Center"
2001:250:5058::/45,4538,"China Education and Research Network Center"
2001:250:5060::/45,4538,"China Education and Research Network Center"
2001:250:5068::/46,4538,"China Education and Research Network Center"
2001:250:506c::/47,4538,"China Education and Research Network Center"
2001:250:506e::/47,23910,"China Next Generation Internet CERNET2"
2001:250:5070::/47,4538,"China Education and Research Network Center"
2001:250:5072::/48,4538,"China Education and Research Network Center"
2001:250:5073::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5074::/46,4538,"China Education and Research Network Center"
2001:250:5078::/47,4538,"China Education and Research Network Center"
2001:250:507a::/48,4538,"China Education and Research Network Center"
2001:250:507b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:507c::/46,4538,"China Education and Research Network Center"
2001:250:5080::/41,23910,"China Next Generation Internet CERNET2"
2001:250:5100::/40,23910,"China Next Generation Internet CERNET2"
2001:250:5200::/39,23910,"China Next Generation Internet CERNET2"
2001:250:5400::/43,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:5420::/45,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:5428::/47,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:542a::/48,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:542b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:542c::/46,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:5430::/46,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:5434::/47,24362,"CERNET2 IX at University of Science and Technology of China"
2001:250:5436::/47,23910,"China Next Generation Internet CERNET2"
2001:250:5438::/45,23910,"China Next Generation Internet CERNET2"
2001:250:5440::/42,23910,"China Next Generation Internet CERNET2"
2001:250:5480::/41,23910,"China Next Generation Internet CERNET2"
2001:250:5500::/40,23910,"China Next Generation Internet CERNET2"
2001:250:5600::/39,23910,"China Next Generation Internet CERNET2"
2001:250:5800::/46,4538,"China Education and Research Network Center"
2001:250:5804::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5805::/48,4538,"China Education and Research Network Center"
2001:250:5806::/48,4538,"China Education and Research Network Center"
2001:250:5807::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5808::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5809::/48,4538,"China Education and Research Network Center"
2001:250:580a::/47,4538,"China Education and Research Network Center"
2001:250:580c::/46,4538,"China Education and Research Network Center"
2001:250:5810::/48,4538,"China Education and Research Network Center"
2001:250:5811::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5812::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5813::/48,4538,"China Education and Research Network Center"
2001:250:5814::/46,4538,"China Education and Research Network Center"
2001:250:5818::/45,4538,"China Education and Research Network Center"
2001:250:5820::/44,4538,"China Education and Research Network Center"
2001:250:5830::/46,4538,"China Education and Research Network Center"
2001:250:5834::/47,4538,"China Education and Research Network Center"
2001:250:5836::/48,4538,"China Education and Research Network Center"
2001:250:5837::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5838::/45,4538,"China Education and Research Network Center"
2001:250:5840::/43,4538,"China Education and Research Network Center"
2001:250:5860::/45,4538,"China Education and Research Network Center"
2001:250:5868::/47,4538,"China Education and Research Network Center"
2001:250:586a::/48,4538,"China Education and Research Network Center"
2001:250:586b::/48,23910,"China Next Generation Internet CERNET2"
2001:250:586c::/46,4538,"China Education and Research Network Center"
2001:250:5870::/47,4538,"China Education and Research Network Center"
2001:250:5872::/48,23910,"China Next Generation Internet CERNET2"
2001:250:5873::/48,4538,"China Education and Research Network Center"
2001:250:5874::/46,4538,"China Education and Research Network Center"
2001:250:5878::/45,4538,"China Education and Research Network Center"
2001:250:5880::/44,4538,"China Education and Research Network Center"
2001:250:5890::/45,4538,"China Education and Research Network Center"
2001:250:5898::/48,4538,"China Education and Research Network Center"
2001:250:5899::/48,23910,"China Next Generation Internet CERNET2"
2001:250:589a::/47,23910,"China Next Generation Internet CERNET2"
2001:250:589c::/46,23910,"China Next Generation Internet CERNET2"
2001:250:58a0::/43,23910,"China Next Generation Internet CERNET2"
2001:250:58c0::/42,23910,"China Next Generation Internet CERNET2"
2001:250:5900::/40,23910,"China Next Generation Internet CERNET2"
2001:250:5a00::/39,23910,"China Next Generation Internet CERNET2"
2001:250:5c00::/38,23910,"China Next Generation Internet CERNET2"
2001:250:6000::/47,4538,"China Education and Research Network Center"
2001:250:6002::/47,23910,"China Next Generation Internet CERNET2"
2001:250:6004::/47,23910,"China Next Generation Internet CERNET2"
2001:250:6006::/47,4538,"China Education and Research Network Center"
2001:250:6008::/48,23910,"China Next Generation Internet CERNET2"
2001:250:6009::/48,4538,"China Education and Research Network Center"
2001:250:600a::/48,23910,"China Next Generation Internet CERNET2"
2001:250:600b::/48,4538,"China Education and Research Network Center"
2001:250:600c::/47,23910,"China Next Generation Internet CERNET2"
2001:250:600e::/48,23910,"China Next Generation Internet CERNET2"
2001:250:600f::/48,4538,"China Education and Research Network Center"
2001:250:6010::/44,4538,"China Education and Research Network Center"
2001:250:6020::/45,4538,"China Education and Research Network Center"
2001:250:6028::/46,4538,"China Education and Research Network Center"
2001:250:602c::/47,4538,"China Education and Research Network Center"
2001:250:602e::/48,4538,"China Education and Research Network Center"
